id,neighbours
0,"1,12,13,16,17"
1,"0,12,13,16,17,24,31"
2,"10,27"
3,"9,13,14,22,26"
4,"6,17,31"
5,"15,20,21,22,23,26,29"
6,"4,7,8,14,17"
7,"6"
8,"6,9,14,30"
9,"3,8,14,26,30"
10,"2,12,15,19,24,25,27"
11,"15,18"
12,"0,1,10,13,22,24,25"
13,"0,1,3,12,14,17,22"
14,"3,6,8,9,13,17"
15,"5,10,11,18,19,20,23,25"
16,"0,1,24,31"
17,"0,1,4,6,13,14,31"
18,"11,15,19"
19,"10,15,18"
20,"5,15,23"
21,"5,26,28,29"
22,"3,5,12,13,23,25,26"
23,"5,15,20,22,25"
24,"1,10,12,16"
25,"10,12,15,22,23"
26,"3,5,9,21,22,28,30"
27,"2,10"
28,"21,26,29,30"
29,"5,21,28"
30,"8,9,26,28"
31,"1,4,16,17"
