id,neighbours
0,"22,52,58"
1,"14,24,44"
2,"25,54,75,76"
3,"23,28,29,40,71"
4,"19,70"
5,"10,47,49,59,61,67"
6,"33,72"
7,"20,33,46,57"
8,"16,64,76"
9,"13,15,42,58"
10,"5,32,47,59"
11,"36,37,41,61,68"
12,"23,43,51,71"
13,"9,19,58"
14,"1,24,26,64"
15,"9,42"
16,"8,31,54,64,76"
17,"30,41,69,74"
18,"22,42,58"
19,"4,13,52,58,70"
20,"7,38,46,57,63"
21,"35"
22,"0,18,58"
23,"3,12,39,71"
24,"1,14,26,31,44,62"
25,"2,35,50,54,75"
26,"14,24,31,64"
27,"29,31,59,62,66,73"
28,"3,29,30,36,41,49,61,67,71"
29,"3,27,28,40,49,59,73"
30,"17,28,41,71,74"
31,"16,24,26,27,54,62,64,73"
32,"10,59,66"
33,"6,7,34,46,72"
34,"33,46,53,60,63,72"
35,"21,25,54"
36,"11,28,41,61"
37,"11,41,48,53,68"
38,"20,53,57,63,65,69,74"
39,"23"
40,"3,29,73"
41,"11,17,28,30,36,37,53,69"
42,"9,15,18,58"
43,"12,51,65,71"
44,"1,24,45,62"
45,"44,62,66"
46,"7,20,33,34,63"
47,"5,10,55,56,61"
48,"37,53,56,60,68"
49,"5,28,29,59,67"
50,"25"
51,"12,43,57,65"
52,"0,19,58,70,72"
53,"34,37,38,41,48,60,63,69"
54,"2,16,25,31,35,76"
55,"47,56,61,68"
56,"47,48,55,60,68,70,72"
57,"7,20,38,51,65"
58,"0,9,13,18,19,22,42,52"
59,"5,10,27,29,32,49,66"
60,"34,48,53,56,72"
61,"5,11,28,36,47,55,67,68"
62,"24,27,31,44,45,66"
63,"20,34,38,46,53"
64,"8,14,16,26,31"
65,"38,43,51,57,71,74"
66,"27,32,45,59,62"
67,"5,28,49,61"
68,"11,37,48,55,56,61"
69,"17,38,41,53,74"
70,"4,19,52,56,72"
71,"3,12,23,28,30,43,65,74"
72,"6,33,34,52,56,60,70"
73,"27,29,31,40"
74,"17,30,38,65,69,71"
75,"2,25"
76,"2,8,16,54"
