id,neighbours
0,"[1, 7]"
1,"[0]"
2,"[14]"
3,"[9, 10, 14]"
4,"[6, 19, 20, 23]"
5,"[10, 13, 14, 19]"
6,"[4, 16, 19, 20, 21]"
7,"[0, 15, 18, 24]"
8,"[9, 10, 12, 17, 18]"
9,"[3, 8, 10]"
10,"[3, 5, 8, 9, 13, 14, 18]"
11,"[13, 19, 24]"
12,"[8, 17]"
13,"[5, 10, 11, 18, 19, 24]"
14,"[2, 3, 5, 10, 16, 19]"
15,"[7, 17, 18]"
16,"[6, 14, 19, 21]"
17,"[8, 12, 15, 18]"
18,"[7, 8, 10, 13, 15, 17, 24]"
19,"[4, 5, 6, 11, 13, 14, 16]"
20,"[4, 6, 21, 23, 26]"
21,"[6, 16, 20, 22, 26]"
22,"[21, 26]"
23,"[4, 20, 25, 26]"
24,"[7, 11, 13, 18]"
25,"[23, 26]"
26,"[20, 21, 22, 23, 25]"
